Dép.;Code INSEE;Chef-lieu
88;882;Neufchâteau
88;883;Saint-Dié-des-Vosges
89;891;Auxerre
89;892;Avallon
89;893;Sens
90;901;Belfort
91;911;Étampes
91;912;Évry-Courcouronnes
91;913;Palaiseau
92;921;Antony
92;922;Nanterre
92;923;Boulogne-Billancourt
93;931;Bobigny
93;932;Le Raincy
93;933;Saint-Denis
94;941;Créteil
94;942;Nogent-sur-Marne
94;943;L'Haÿ-les-Roses
95;951;Argenteuil
95;952;Sarcelles
95;953;Pontoise
971;9711;Basse-Terre
971;9712;Pointe-à-Pitre
972;9721;Fort-de-France
972;9722;La Trinité
972;9723;Le Marin
972;9724;Saint-Pierre
973;9731;Cayenne
973;9732;Saint-Laurent-du-Maroni
974;9741;Saint-Denis
974;9742;Saint-Pierre
974;9743;Saint-Benoît
974;9744;Saint-Paul
976;-;Dzaoudzi
;;
Notes et références[modifier | modifier le code];;
1. ? Code officiel géographique au 1er janvier 2020 [archive] sur le site de l'Insee;;
2. ? « Population légales des départements en 2017 » [archive], sur insee.fr (consulté le 10 mai 2020);;
3. ? Département de Mayotte (976) - COG [archive] sur le site de l'Insee. Il n'existe pas de division administrative correspondant à l'arrondissement.;;
4. ? Insee - Populations légales des communes de Mayotte en 2017 [archive], consulté le 1er septembre 2019;;
;;
Voir aussi[modifier | modifier le code];;
Articles connexes[modifier | modifier le code];;
Arrondissement français;;
Liste des préfectures de France;;
Liste des sous-préfectures de France;;
;;
 Portail de la France;;
;;
Catégories : ;;
Arrondissement en France;;
Liste de lieux géographiques en France;;
[+];;
La dernière modification de cette page a été faite le 9 juillet 2020 à 21:08.;;
"Droit d'auteur : les textes sont disponibles sous licence Creative Commons attribution, partage dans les mêmes conditions ; d’autres conditions peuvent s’appliquer. Voyez les conditions d’utilisation pour plus de détails, ainsi que les crédits graphiques. En cas de réutilisation des textes de cette page, voyez comment citer les auteurs et mentionner la licence.";;
Wikipedia® est une marque déposée de la Wikimedia Foundation, Inc., organisation de bienfaisance régie par le paragraphe 501(c)(3) du code fiscal des États-Unis.;;
Politique de confidentialité;;
À propos de Wikipédia;;
Avertissements;;
Contact;;
Version mobile;;
Développeurs;;
Statistiques;;
Déclaration sur les témoins (cookies);;
