identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-254947;91;0;2020-07-14T00:00;0,014114275273;0,003643767065;0,004607593667
WPCR-254958;91;0;2020-07-15T00:00;0,012774154782;-0,001340120491;-0,004983887557
WPCR-254969;91;0;2020-07-16T00:00;0,014107209957;0,001333055175;0,002673175666
WPCR-254980;91;0;2020-07-17T00:00;0,012789298159;-0,001317911798;-0,002650966973
WPCR-254991;91;0;2020-07-18T00:00;0,012130781358;-0,000658516801;0,000659394997
WPCR-255002;91;0;2020-07-19T00:00;0,011044965671;-0,001085815687;-0,000427298886
WPCR-255013;91;0;2020-07-20T00:00;0,014414476914;0,003369511243;0,00445532693
WPCR-255024;91;0;2020-07-21T00:00;0,01791819385;0,003503716936;0,000134205693
WPCR-255035;91;0;2020-07-22T00:00;0,020767764484;0,002849570633;-0,000654146303
WPCR-255046;91;0;2020-07-23T00:00;0,018440358147;-0,002327406337;-0,00517697697
WPCR-255057;91;0;2020-07-24T00:00;0,015674000511;-0,002766357636;-0,000438951299
WPCR-255068;91;0;2020-07-25T00:00;0,015515277943;-0,000158722568;0,002607635068
WPCR-255079;91;0;2020-07-26T00:00;0,012358154792;-0,003157123151;-0,002998400583
WPCR-255090;91;0;2020-07-27T00:00;0,015444015829;0,003085861036;0,006242984187
WPCR-255101;91;0;2020-07-28T00:00;0,017282479123;0,001838463294;-0,001247397742
WPCR-255112;91;0;2020-07-29T00:00;0,021758905625;0,004476426502;0,002637963208
WPCR-255123;91;0;2020-07-30T00:00;0,022875178557;0,001116272932;-0,00336015357
WPCR-255134;91;0;2020-07-31T00:00;0,022243920256;-0,000631258302;-0,001747531234
WPCR-255145;91;0;2020-08-01T00:00;0,023381773971;0,001137853716;0,001769112017
WPCR-255156;91;0;2020-08-02T00:00;0,02999019225;0,006608418279;0,005470564563
WPCR-255167;91;0;2020-08-03T00:00;0,030524896142;0,000534703892;-0,006073714387
WPCR-255178;91;0;2020-08-04T00:00;0,034814273872;0,00428937773;0,003754673838
WPCR-255189;91;0;2020-08-05T00:00;0,028462162151;-0,006352111721;-0,010641489451
WPCR-255200;91;0;2020-08-06T00:00;0,030820730757;0,002358568606;0,008710680328
WPCR-255211;91;0;2020-08-07T00:00;0,029222030993;-0,001598699764;-0,00395726837
WPCR-255222;91;0;2020-08-08T00:00;0,028979609282;-0,000242421711;0,001356278053
WPCR-255233;91;0;2020-08-09T00:00;0,025580540088;-0,003399069195;-0,003156647484
WPCR-255244;91;0;2020-08-10T00:00;0,025975715244;0,000395175156;0,003794244351
WPCR-255255;91;0;2020-08-11T00:00;0,033123121515;0,007147406271;0,006752231115
WPCR-255266;91;0;2020-08-12T00:00;0,037616518414;0,004493396899;-0,002654009373
WPCR-255277;91;0;2020-08-13T00:00;0,041585078143;0,003968559729;-0,00052483717
WPCR-255288;91;0;2020-08-14T00:00;0,035207960759;-0,006377117383;-0,010345677112
WPCR-255299;91;0;2020-08-15T00:00;0,039310823071;0,004102862312;0,010479979695
WPCR-255310;91;0;2020-08-16T00:00;0,033335295876;-0,005975527195;-0,010078389507
WPCR-255321;91;0;2020-08-17T00:00;0,035673041226;0,00233774535;0,008313272545
WPCR-255332;91;0;2020-08-18T00:00;0,034433679409;-0,001239361817;-0,003577107167
WPCR-255343;91;0;2020-08-19T00:00;0,040545709136;0,006112029727;0,007351391544
WPCR-255354;91;0;2020-08-20T00:00;0,042366170357;0,001820461221;-0,004291568506
WPCR-255365;91;0;2020-08-21T00:00;0,037413783494;-0,004952386863;-0,006772848085
WPCR-255376;91;0;2020-08-22T00:00;0,03326672068;-0,004147062814;0,00080532405
WPCR-255387;91;0;2020-08-23T00:00;0,038354068526;0,005087347846;0,00923441066
WPCR-255398;91;0;2020-08-24T00:00;0,045956812578;0,007602744052;0,002515396206
WPCR-255409;91;0;2020-08-25T00:00;0,051692707445;0,005735894868;-0,001866849184
WPCR-255420;91;0;2020-08-26T00:00;0,04637278435;-0,005319923096;-0,011055817963
WPCR-255431;91;0;2020-08-27T00:00;0,044107125613;-0,002265658736;0,003054264359
WPCR-255442;91;0;2020-08-28T00:00;0,044967322569;0,000860196955;0,003125855692
WPCR-255453;91;0;2020-08-29T00:00;0,04895076303;0,003983440461;0,003123243506
WPCR-255464;91;0;2020-08-30T00:00;0,051634903349;0,002684140319;-0,001299300142
