TEMPORAL;AMPLITUDE;AMPLITUDE_REAL;AMPLITUDE_IMAGINARY
241;0,0017002505255830078;-0,0017002505255830078;-0,0000000000000000041
242;0,013616066870830761;0,013616066870830761;0,00000000000000000172
243;0,0051027588567079795;-0,0051027588567079795;0,00000000000000000146
244;0,00024280790603383655;0,00024280790603383655;0,00000000000000000488
245;0,008848335906501316;-0,008848335906501316;0,00000000000000000061
246;0,00041763732498982054;0,00041763732498982054;0,00000000000000000663
247;0,0012661676826143356;0,0012661676826143356;0,00000000000000000514
248;0,000741865828624076;-0,000741865828624076;0,00000000000000001548
249;0,01202458848464114;0,01202458848464114;-0,00000000000000001172
250;0,009860510839562995;-0,009860510839562995;0,00000000000000001469
251;0,007305404322778191;0,007305404322778191;-0,00000000000000002288
252;0,0011786969282262553;0,0011786969282262553;0,00000000000000002809
253;0,027801926937762827;-0,027801926937762827;-0,00000000000000000913
254;0,004031371071027827;0,004031371071027827;0,00000000000000001477
255;0,02104031416668467;-0,02104031416668467;-0,00000000000000000137
