FREQUENCY;AMPLITUDE;AMPLITUDE_REAL;AMPLITUDE_IMAGINARY
0;0,01562785150600006;-0,01562785150600006;0
1;0,013552521166192356;-0,013174160005794841;-0,0031799902675649023
2;0,018697458449043126;-0,017136593367114577;0,0074787779900100555
3;0,029720031938089676;-0,028994749315744587;-0,006525703833166141
4;0,012623329897776224;-0,00734385955596895;-0,01026723840817455
5;0,0166741788839429;-0,016414677079247278;0,0029302931317124817
6;0,03022602940656549;-0,026848548180914398;-0,013884102933343578
7;0,017506830189474746;0,0003499328688804891;-0,017503332547557378
8;0,011172726806069557;-0,00799172423327472;0,007807827358641765
9;0,021474882549608578;-0,019639791715310738;-0,008686147701869613
10;0,015222049647261331;-0,01491683110767768;0,0030329762888470224
11;0,030924230532150303;-0,029471530499731006;0,00936679902682886
12;0,06057046056777568;-0,058000003937634444;-0,017457956255726426
13;0,0135744892048513;0,0018796126528507172;-0,013443727661919813
14;0,040662771616605864;-0,03986235901113459;0,008028283104852771
15;0,027449514739855876;0,0024108666234600278;-0,027343437632774914
16;0,03458734541128837;-0,026524876517550505;0,02219719325339284
17;0,0251704829648344;-0,0014741288987132964;-0,025127279133901413
18;0,026260784653678586;-0,00485155497203427;0,02580874318869887
19;0,08744863906215952;-0,07326483501410547;-0,04774440725550751
20;0,02001452471110923;0,012571249359818053;-0,015573852732862097
21;0,014176036380259197;-0,006001497071963582;0,012842976304176723
22;0,05178010165709567;-0,03837330723014362;-0,03476590599768931
23;0,07205031961019472;0,0657815174947513;-0,02939456602875671
24;0,04295346346319012;0,03842578971097475;0,01919527828846344
25;0,029754646161968087;-0,02834732500152652;-0,009042573388242502
26;0,027670805307683594;-0,0276365632325922;0,001376168255215731
27;0,07769189107757773;0,07672248640285399;-0,012234787263131597
28;0,06904386180062516;-0,06879125080826796;0,005900734240566941
29;0,151891271865814;-0,008430186462977496;-0,15165714762322957
30;0,018737726943194827;-0,0067140607163628865;-0,01749353594030441
31;0,1070024289487831;-0,059981333859153996;-0,08861015398596306
32;0,13556310063156243;0,13525085767698367;-0,009195637578951824
33;0,06535686429947297;-0,04842825797912684;0,04388876325629219
34;0,11256086262163621;0,09560619426605246;-0,059408782280810105
35;0,13093614249606475;-0,03310218814153126;0,12668274764936402
36;0,1919254315835009;0,15121996139960045;-0,11818584755721151
37;0,28808716059829936;-0,12055604187880603;0,2616494847464942
38;0,19754834488633227;-0,11688824311316708;-0,15925604286571493
39;0,080849411459133;0,07246744744280686;0,035848241162046046
40;0,19175804073887934;-0,19003183351393138;0,025671938753183
41;0,011074764140260717;0,01000128993049836;0,004756532401709968
42;0,07032483775189104;-0,05295729604514044;0,04627210391172149
43;0,04108651060902782;-0,004304613676714045;-0,040860392253623826
44;0,059637329081848975;-0,04784686068313497;-0,03559900199142417
45;0,170924878527739;-0,16868757145485538;-0,027564784352238095
46;0,09993126055025307;0,0002748774674205673;0,09993088250155939
47;0,11349178115957662;-0,11185424495541697;0,019209692247061337
48;0,0890618668719837;-0,015678301188394007;0,08767101574961333
49;0,03414968999994812;0,0313695064061692;0,013496495653534144
50;0,10479115687317735;-0,1037280194312811;-0,014889074641583223
51;0,07990296849364394;-0,07959328546917989;-0,007028035452236505
52;0,22873890150642928;-0,14887634991785018;-0,1736586234469967
53;0,053642897372569574;0,048538434973164846;-0,02283814285093863
54;0,18985086511799698;-0,18958090127001861;0,010120911999386827
55;0,16247891058705635;-0,16196635145661833;-0,012895634198745176
56;0,14467132566326363;-0,13304587933432543;-0,05682065171504281
57;0,06351666241278243;-0,01630952190196264;-0,0613870173521142
58;0,14323932676542797;-0,07081574447302419;0,12450957821366351
59;0,1355106970278183;0,027329393705535065;-0,13272623421408827
60;0,20986626028217495;-0,18501492080940118;0,09906223439190437
61;0,08404478549718047;0,003289343469852997;-0,08398039169237312
62;0,04552736763017374;0,0448697441282873;-0,0077102052628330656
63;0,03250508627975669;-0,03245726348553442;0,001762577965657399
64;0,0666242480082498;-0,05381199801400002;0,03928179339600007
65;0,10499745242920062;-0,09755544542493325;-0,03882525060530993
66;0,07723179699473925;0,009158827091300874;0,07668680690541411
67;0,1240261004280512;-0,03338712271561694;0,11944778618359311
68;0,024754168415549848;0,0006378534204957292;-0,02474594910201198
69;0,13829664276391698;0,08571326137716445;0,10853201474155154
70;0,09091427514688988;-0,0761709074391054;-0,04963263327073867
71;0,07391605327393944;0,024356421694827525;0,06978787612343271
72;0,10437799052272477;-0,09608509196591082;-0,04077278513254256
73;0,14130780458917386;0,14127551988876436;-0,003020449961759361
74;0,11475811617398846;-0,09008943857900158;0,07108669555073532
75;0,007153789790864716;-0,00684638876736595;0,002074528673690866
76;0,10587008625623524;-0,06618720603978659;0,08263007273716712
77;0,012772994122016629;-0,006954087766305711;0,010714011488681004
78;0,05063176869073787;-0,017361243039339627;0,047562203911103246
79;0,016204075637313256;-0,014738135977322939;-0,006734939878997309
80;0,03952122144338684;-0,013063119087891907;0,03729989093915389
81;0,044219216715953046;-0,04352490965534646;-0,007805214056408081
82;0,022685026816856718;-0,004850652055384963;-0,022160361376094437
83;0,02004157452269456;-0,014335688579819247;-0,014005454019458262
84;0,019723287304656785;-0,01666501215405136;-0,010549191059382517
85;0,02347193216684597;-0,02231191717088286;-0,007287657497761613
86;0,017830832012312073;-0,015335907728072647;-0,00909662049375122
87;0,03007110474326099;-0,02376906384305421;-0,01842017764585854
88;0,024702559346206077;-0,011157067601733558;-0,022039425600118998
89;0,02501254983751819;-0,024047140473405122;0,006882055247282777
90;0,04116841022492547;-0,03532061070551794;-0,021149289818738592
91;0,01647412675296074;-0,00007111090175141582;-0,016473973276422083
92;0,04068184411769064;0,036277947013195276;0,01840986152375613
93;0,0930745503129292;-0,08996384714690622;0,023861645426962536
94;0,018562421713701874;0,010436031264007318;-0,015350985353845291
95;0,05066536595123591;0,006537405911622858;0,05024183148452427
96;0,05708860879109696;0,005778228329016245;-0,05679543406895195
97;0,08069753472959984;-0,07454249946850881;0,030911290565460627
98;0,06915843709278735;0,011984877539651152;-0,06811205569850752
99;0,10349642319184713;-0,09397858831306664;-0,04335359906846312
100;0,1715445453390271;-0,16634056405697856;0,041932657735704565
101;0,0712674936809673;-0,07097979803473013;0,0063971811382540975
102;0,13267800125126603;-0,04753972157474824;0,12386858717457935
103;0,11685552490093133;-0,09036861448015493;0,07408594479932962
104;0,08049869417390265;0,0610405048080444;0,05247948681611338
105;0,11518105317953035;0,06738531987387021;0,09341249208238689
106;0,2082057274974915;0,20553326611974038;-0,033252089872843664
107;0,24450538748853062;-0,16416994151240993;0,18119358381225423
108;0,14714806979643177;-0,02062525606692524;-0,14569541261477426
