departement;type1;debutcouvre1;fincouvre1;detailhours1;type2;debutcouvre2;fincouvre2;detailhours2;type3;debutcouvre3;fincouvre3;detailhours3;type4;debutcouvre4;fincouvre4;detailhours4
32;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
33;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
34;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
35;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
36;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
37;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
38;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
39;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
40;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
41;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
42;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
43;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
44;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
45;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
46;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
47;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
48;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
49;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
50;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
51;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
52;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
53;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
54;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
55;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
56;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
57;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
58;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
59;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
60;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
61;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
62;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
63;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
64;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
65;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
66;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
67;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
68;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
69;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
70;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
71;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
72;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
73;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
74;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
