TEMPORAL;AMPLITUDE
0;-0,10877664824611818
1;0,008651878694684608
2;0,0193209984479722
3;0,021163678111762754
4;0,00936154396777375
5;-0,030550602765778184
6;0,021269396195562975
7;-0,014114896741641117
8;0,0017617572466240797
9;-0,0032135642436143326
10;0,0032279055960101736
11;0,012313716402501309
12;0,001990736865966167
13;0,0005259017647079632
14;-0,014409588836830736
15;0,004293295215583004
16;-0,000273581016562948
17;0,00488812195223034
18;-0,004870723564388025
19;-0,0023904536476764045
20;0,008382142790007955
21;-0,010594163531496635
22;0,015511516586153797
23;-0,016792107945370137
24;0,004411232415911283
25;0,0038700502516909544
26;-0,0023776179578672164
27;0,007667474547431819
28;-0,023831053360119675
29;0,011935066982415164
30;0,0035846015156444644
31;0,005794786439011777
32;0,008638144484297408
33;-0,01242569067391625
34;0,00028491549198186384
35;-0,009856882220884211
36;0,009700144389871688
37;0,009507601214602729
38;-0,0015027835463322864
39;-0,006019797370832873
40;-0,0046223137791865515
41;0,003976522172852742
42;-0,0007274611872829422
43;0,00036408687231820276
44;-0,005619658108525514
45;0,006164452838795759
46;-0,003905169351628398
47;0,002001476641750869
48;-0,0003087517124660288
49;0,00858441641583294
50;-0,005871374092881638
51;-0,0034361114253596056
52;-0,00612503238708802
53;0,012470040265953683
54;-0,0010505064276731878
55;-0,0001292771393454164
56;-0,008051161213949894
57;0,004141638724114919
58;0,0006039185932862341
59;0,003591010042596494
60;0,000823917214443871
61;0,00005532951599993095
62;0,0030835859488370296
63;-0,0038921211706071344
64;-0,0020541222656801643
65;-0,0005876972331884118
66;0,004226733635949567
67;0,001643183099361695
68;-0,0006437676921186199
69;-0,004898872598148863
70;-0,0067534610501462315
71;0,006404071580942004
72;-0,0030880899205979204
73;0,008532121207980973
74;-0,0016902304061746963
75;0,0014264217725383599
76;0,0021742388398383844
77;-0,006113259952240643
78;0,004824161218988932
79;0,005403599051136059
80;-0,010049617345717531
81;0,005944410329139454
82;-0,015298603821097465
83;0,013467071221710737
84;-0,010796393752182588
85;0,005061580175589724
86;-0,003342100826181022
87;0,009392776011881524
88;0,002435126057215408
89;-0,00407806800428806
90;-0,0038919196351520145
91;-0,010930414980950756
92;0,010566307935335816
93;-0,006007279645073535
94;0,007383912877476358
95;-0,001379253324864862
96;0,0032144504847689895
97;-0,00463622998789872
98;-0,0117909075648117
99;0,00557602924410143
100;0,011342471542220973
101;0,007362120094970512
102;-0,0012814875834309609
103;-0,015952688196227777
104;0,004131207803503949
105;0,00007055446457691515
106;0,009830535056867986
107;-0,005660291511770292
108;-0,0071971946359842415
109;0,0018019102361192699
110;0,001623860881874893
111;0,0005424395246053744
112;-0,001348306258632674
